0	sterile neutrinos as dark matter	2 component spinor formalism
0	in what position can a current-carrying loop of wire be located in a magnetic field so that it does not tend to rotate ?	time dilation effects from simply being on a spinning planet orbiting a star in a rotating galaxy in an expanding universe .
0	the vacuum as trigger	lorentz force equation from relativistic lagrangian
0	'hole in the clouds ' in the sarychev peak eruption	are modified theories of gravity credible ?
0	how do 2 magnets spin by themselves if positioned precisely ?	calculate potential gravity energy converted when star collapses
1	can someone explain effects of time dilation on expansion of universe	time dilation at the big bang
1	why should space be empty ?	how vacuous is intergalactic space ?
0	what are the consequences in high-energy of the non-interaction of the higgs field ?	dirac bracket and second class constraints in first-order gravity formalism
0	is quasiclassicality in consistent histories the preferred basis problem in disguise ?	understand audio signals
0	did relativity make newtonian mechanics obsolete ?	expectation values-wavefunction
1	can the coordinate of the big bang point be calculated via observed universe or it is impossible ?	does the universe have a center ?
1	gravity on flat object	the potential and the intensity of the gravitational field in the axis of a circular plate
1	does non-matter energy curve spacetime ?	what are the factors affecting the spacetime curvature ?
1	nuclear structure	are the protons and neutrons in the nucleus arranged in any particular way ?
1	dark energy and conservation of energy	how is dark energy consistent with conservation of mass and energy ?
1	loss of kinetic energy in inelastic collision	how can momentum but not energy be conserved in an inelastic collision ?
1	why does the moon look bigger at the horizon ?	why does the moon sometimes appear giant and a orange red color near the horizon ?
1	attaining the speed of light ? ?	would time freeze if you can travel at the speed of light ?
1	where is the amplitude of electromagnetic waves in the equation of energy of e/m waves ?	amplitude of an electromagnetic wave containing a single photon
1	what would happen to a person that was inside the large hadron collider when it is turned on ?	what would happen if you put your hand in front of the 7 tev beam at lhc ?
1	is a collision with an immovable object equal to a head-on collision ?	train crash : are these situations alike ?
1	a crash course in quantum mechanics	what is a good introductory book on quantum mechanics ?
1	why can not the units of work and torque be interchanged ?	why is torque not measured in joules ?
0	calculating outside temperature based on indoor measurements	damped and undamped oscillation graph comparison
1	quarks are now considered to be fundamentals , but so were atoms some time ago . so the way we see is only limited by our technological advances ?	why do physicists believe that particles are pointlike ?
0	can the field generated by a magnet domain extend to infinity ?	how is " band intensity " related to absorption coefficient
0	in which direction do gravitons travel ? do they originate from mass or are they collected by masses ?	tensor product of a bra and a ket
1	quarks and anti-quarks forming particles	how do $\pi^0$ particles exist ?
1	is there a book that discusses general relativity in terms of modern differential geometry ?	mathematically-oriented treatment of general relativity
1	speed of universe expansion	at what speed does our universe expand ?
0	electromagnetic induction of an uniform magnetic field	lagrangian description of brownian motion ?
1	conceptual meaning of " virtual image"	virtual vs real image
0	is the magnetization direction of a permanent magnet fixed ?	nuclear physics radioactivity
1	why do we say that light travels at a speed ?	would time freeze if you can travel at the speed of light ?
