0	what is the longest distance that can be jumped after swinging from a rope ?	what excactly is a " fourier component of a density fluctuation " ?
1	can the laws of classical mechanics be derived from quantum mechanics ?	is it possible to recover classical mechanics from schrödinger 's equation ?
0	phase space dimension of lorenz strange attractor	how did lord rayleigh derive/determine the phase function for his scattering model ?
1	how faster is the effect of force exerted by gravity ?	the speed of gravity ?
1	is there a book that discusses general relativity in terms of modern differential geometry ?	mathematically-oriented treatment of general relativity
0	characteristic x-ray in energy spectrum	tunnel through ceres
1	reducing the tsunami impact using nuclear bombs	tsunami dampening mechanisms
0	are we living in a simulated universe ?	about the seesaw mechanism
0	chern-simons on a lattice and the framing anomaly	infinitesimal input , macroscopic output
0	is it ok to have two events $a$ and $b$ so that for one person $a$ occurs before $b$ but for another $b$ preceds $a$	my book uses helium weight in reaction formula instead of weight alpha particle ?
0	are there any other mechanisms that can make virtual particles ' real ' other than hawking radiation and universe births ?	two identical rockets , time dilation , and possible weirdness
0	how do you properly analyze decoherence when the system-environment interaction is strong ?	is the normal force dependent on the density of the object the body is resting on ?
0	killing vector argument gone awry ?	resources showing how to use differential forms in physics
0	finding electric field outside a charged cylinder	is energy simple or composite ?
0	infinite potential well with barrier in the middle- symmetric	what is anti-time ?
0	breakdown voltage	horizontal motion inside a cone ( cylindrical polars )
0	what does the sum of two qubits tell about their correlations ?	should the jacobian be negative in $\mathrm{d}^4 x$ ?
0	is battery capacity proportional to ampere-hour in every case ?	a physical sense of an inertial frame
0	are there any good reading materials for variational approach in many-body theory ?	are retrograde capture orbits " easier " than prograde capture orbits ?
0	what happens when a bacteria tumble ? is it an active or a passive process ?	relation between quarks and strings
1	how to prove newton 's second law with quantum mechanics ?	is it possible to recover classical mechanics from schrödinger 's equation ?
0	pde from dispersion relation ?	how do i calculate the reynolds number in multiphase flows ?
0	nuclear decay information	t duality for lower codimension branes or alf spaces
0	definition of entropy in nonequilibrium states	how to deterministically distinguish the following quantum states ?
1	how big should a lens of a telescope be so we can see the american flag on the moon from the earth 's surface ?	observing lunar lander and footprints on the moon ?
0	relativistic addition of velocities of spaceships	gr matter-free equations and schwarzschild geometry
0	critical size and radioactive nuclei	the role of context in information theory
0	liouville 's theorem and conservation of phase space volume	gravitational force from spherical shell
0	temperature of thermally isolated space region	derivation of the " bethe sum rule"
0	infinite resistive lattice problem	exact beta functions in statistical mechanics
0	the reference frame of $c$	how did goddard 's rocket reach 41 feet in under 2.5 seconds ?
0	is the speed of a person falling down different if doing a forward somersault during the fall ?	what is a wave ?
1	how do you change planck 's law from frequency to wavelength ?	planck 's law in terms of wavelength
0	question about interaction between three objects	( special relativity ) points that can be seen by an observer
0	does the mass of a battery 's change when charged/discharged ?	experimental results regarding non-extensivity in small systems
0	for an accelerated charge to radiate , is an electromagnetic field as the source necessary ?	height of the atmosphere - conflicting answers
0	why did the june 2011 lunar eclipse last so long ?	change in momentum
0	thermodynamic potentials and approach to equilibrium	force between two charges containing several dielectrics between them
0	stabilizer formalism for symmetric spin-states ?	crazy dirac deltas
0	what does a $su ( 2 ) $ doublet really mean ?	charge density in a wire
0	number of zero-modes on the sphere	how does phase modulation conspire to eliminate power variations ?
1	capillary action and conservation of energy	when water climbs up a piece of paper , where is the energy coming from ?
1	what really is reflection ?	what is reflection ?
1	as the earth rotates around itself , does this have any effect on the dynamics of flights ?	why does the atmosphere rotate along with the earth ?
1	how can time dilation be symmetrical ?	twin paradox without acceleration
1	visualisation of formation of electromagnetic waves	how em waves are produced by accelerating charged particles ?
0	misner string singularity	will a blanket warm you if you are underwater ?
1	space within galaxies . is it stuck by the gravity of the galaxy or expanding and " slipping past " ?	why does space expansion not expand matter ?
0	in a spaceship , if a vessel suddently stops will an object inside the vessel keep going ?	speed of gas molecules when they escape to space
0	radiofrequency attenuation in cold plasma	what does $\nu$ mean in relativity ?
0	derivation of green 's function for wave equation	can extra dimensions be too large to be observable
0	what force does bathroom scale measure ?	conducting rod moving in uniform b vs . stationary rod in ' moving ' uniform b field
0	true ground state population of ideal bose-einstein condensate at critical temperature	calculating eccentricity from semi-major axis , position and velocity of particles
0	once a quantum partition function is in path integral form , does it contain any operators ?	single-site superfluid wave function and coherent state
1	if nothing can travel faster than the speed of light , how can there be parts of the universe we can not see ?	why is the observable universe so big ?
0	linear rising potential from a gribov propagator	can an " absolute " frame of reference be determined by measuring the compression of light ?
1	why is gravitational potential energy negative ?	why is gravitational potential energy negative , and what does that mean ?
1	statistical mechanics prerequisite	recommendations for statistical mechanics book
0	what affects the damping of a spring ?	noether 's theorem and " translations " of the hamiltonian function
0	trying to understand mixed states	if $su ( 2 ) _{l} \times u ( 1 ) _{y}$ breaks to $u ( 1 ) _{em}$ when a non-zero mass for the higgs boson is chosen , why do we still have weak interactions ?
1	gauss 's law for a uniformly charged solid sphere	how do we make symmetry assumptions rigorous ?
1	from quantum mechanics to classical mechanics	classical limit of quantum mechanics
0	reference books for classical mechanics with good number of solved examples	particle in oscillating field
1	revolution of earth	what made us think that earth moves around the sun ?
0	modeling of exact stick-slip-friction using linear complementarity problems ( lcp )	defy gravity torques with gyroscopes ?
0	de broglie formula inconsistency	can a system with nested building blocks ( atoms , cells ) not be " fine tuned " ?
0	can we make any substance that will produce ions at low temprature	literature value of forward-backward asymmetry on the z resonance ?
0	what if physical constants were increased or decreased ?	what is $l_i$ in the wetted perimeter
0	manipulating a formula for a relativistic doppler shift	feynman 's ' diamond jumping out of a box ' parody , how would this work ?
1	how to define a field ?	what are electromagnetic fields made of ?
0	how much light is there in space and how heavy is it ?	why do bigger tires = more friction ?
0	spreading heat with water	moving the plates of a charged capacitor to calculate energy density - where 's the flaw in my argument ?
0	why the shape or size of magnetosphere is different both side ?	why evaluate at lambda = 0
0	given partial derivatives find the state function	the relativity of simultaneity : a classical example
0	what do massive photons have to do with superconductivity ?	ice and liquid water interacting across a boundary
0	if a photon 's emission is detected is it real or virtual ?	nonlocal games : the csch game
0	velocity distribution in ion source ( electron bombardment ) for bainbridge mass spectrometer	how many seconds should you accelerate to complete the run on time ?
0	is there a tb meson ?	why are the alkali and alkaline earth metals present in the ashes of burnt wood ?
0	what is opposite of electric field ?	calculating mass for a reduced trajectory while keeping projectile force constant
0	the exact definition of conjugate momentum density	order of monte carlo integration and frequency summation
1	any recommendations for self-studying physics ?	book recommendations
0	is a black hole a perfect black body ?	random quantum systems with asymmetric lifshitz tails ?
1	conduction and propagation	how does electricity propagate in a conductor ?
0	why consciousness should not be a reason for quantum decoherence ?	newtons cradle , collision theory
0	why the hamiltonian and the lagrangian are used interchangeably in qft perturbation calculations	why is mass renormalization insufficient to explain electron mass ?
1	why does density decide whether something floats or sinks ?	balloons and lifting gases
0	literature request for books / review papers on gravitation , gauge theories and related mathematics	electrostatics/ magnetostatics : why is $\int_\text{all space} d\vec r \ ; \nabla \cdot ( \vec a \times \vec b ) $ equal to 0 ?
0	schrodinger equation in spherical coordinates	diagram-like perturbation theory in quantum mechanics
1	why does evaporation take place ?	how does water evaporate if it does not boil ?
0	planck mass is about the mass of one eyebrow hair	understanding the product of partition functions by making sense of the maths and the physics
0	can relativistic momentum ( photons ) be used as propulsion for ' free ' after the initial generation ?	where does the extra force generated by a lever come from ?
1	non-degeneracy of eigenvalues of number operator for simple harmonic oscillator	proof that the one-dimensional simple harmonic oscillator is non-degenerate ?
0	free energy and entropy of 2d soap froth	how does one explain this pattern generated by earthquake waving driving a pendulum ?
0	change in speed of a satellite	quantum mechanics : creation and annihilation operators
0	what is the best evidence/theory about the first generation of stars	what is the physical difference between states and unital completely positive maps ?
0	why are the " coupling constants " constant ?	which friedmann equation is redundant ?
0	how does one prove that the current of a spontaneously broken symmetry generates a particle ?	why are electric charges allowed to be so light but magnetic monopoles have to be so heavy ?
1	are particles with gravitomagnetic charge possible or excluded ?	are gravitomagnetic monopoles hypothesized ?
0	what is the color shift if light passes between two ( or more ) black holes ?	is it possible to construct a contravariant basis in 1d
0	mechanics question ( a block on top of a block )	eigenvalue $a_n$
0	energy conservation law validity	when does ' energy ' turn to matter ?
0	a theory about a travelling wave due to a vibrating rope seems to be contradictory , please spot what is wrong ?	inertial mass of a scalar field
0	if superposition is possible in qm , why do we often assume systems are already in their eigenstates ?	a quantum particle in a box ( with a catch )
0	spontaneous radiation	why is the bispectrum not commonly used in experimental physics ?
0	does friction act in the same way in different directions ?	how to find last position given a time
0	are there any other mechanisms that can make virtual particles ' real ' other than hawking radiation and universe births ?	how do physicists use solutions to the yang-baxter equation ?
1	good quantum physics textbooks	learn qm algebraic formulations and interpretations
0	violating cosmic censorship	if an electron can not go faster than light , how is energy conserved here ?
0	what is an asterism compared to a constellation ?	the time dilation in an oscillating elevator
1	weighing a flying bird	a flying fly inside a sealed box on a scale
0	does measurement prevent tunneling ?	relativistic corrections to classical physics formulae
0	charge conjugation in dirac equation	born rule and unitary evolution
0	saturn v specific impulse issue in velocity modelling with tsiolkovsky 's equation against actual values ?	estimating the weight of a vehicle moving in a highway
1	why can light ( photons ) bends in a curve through space without mass ?	explain how ( or if ) a box full of photons would weigh more due to massless photons
0	recommended progression with which to learn physics for fun	explain the infinitude of magnetic flux about a finite length of wire
0	how to derive the scale factor for special conformal transformation ?	why is compressible flow near the choke point so efficient ?
0	basic explosion physics - determining force	when water is about to boil
0	finding out the potential difference	interesting identity on $su ( 3 ) $
0	how deep is the region near an event horizon where hawking radiation is generated ?	electrodynamics textbook that emphasizes applications
0	does gravitational redshift imply gravitation time dilation ?	why is an electric motor more efficient at higher loads ?
1	how photons are said to be in momentum if they are considered to have no mass and no charge ?	if photons have no mass , how can they have momentum ?
0	perturbation theory problem	electromagnetic fields and human behaviour
1	why electron clouds in atoms do not radiate ?	where did schrödinger solve the radiating problem of bohr 's model ?
